dates;spei01;prov
16/04/1934;-0.1;BIVG
16/05/1934;-2;BIVG
16/06/1934;-0.8;BIVG
16/07/1934;-1;BIVG
16/08/1934;0.4;BIVG
16/09/1934;-1.1;BIVG
16/10/1934;-0.2;BIVG
16/11/1934;0.9;BIVG
16/12/1934;0.8;BIVG
16/01/1935;0.4;BIVG
15/02/1935;1.5;BIVG
16/03/1935;-0.5;BIVG
16/04/1935;1.4;BIVG
16/05/1935;-0.2;BIVG
16/06/1935;-0.9;BIVG
16/07/1935;-0.9;BIVG
16/08/1935;0.7;BIVG
16/09/1935;-0.1;BIVG
16/10/1935;1;BIVG
16/11/1935;1.7;BIVG
16/12/1935;2.1;BIVG
16/01/1936;1.3;BIVG
15/02/1936;0.4;BIVG
16/03/1936;-1;BIVG
16/04/1936;0.7;BIVG
16/05/1936;-1.2;BIVG
16/06/1936;0.7;BIVG
16/07/1936;1.8;BIVG
16/08/1936;-0.5;BIVG
16/09/1936;0.8;BIVG
16/10/1936;-0.7;BIVG
16/11/1936;-0.7;BIVG
16/12/1936;-1.3;BIVG
16/01/1937;0.6;BIVG
15/02/1937;1.5;BIVG
16/03/1937;1.6;BIVG
16/04/1937;0.3;BIVG
16/05/1937;-0.6;BIVG
16/06/1937;0.1;BIVG
16/07/1937;-1.2;BIVG
16/08/1937;-0.9;BIVG
16/09/1937;0.3;BIVG
16/10/1937;-0.1;BIVG
16/11/1937;-0.4;BIVG
16/12/1937;-0.1;BIVG
16/01/1938;0.9;BIVG
15/02/1938;-0.6;BIVG
16/03/1938;-1.8;BIVG
16/04/1938;-1.1;BIVG
16/05/1938;-0.4;BIVG
16/06/1938;-0.5;BIVG
16/07/1938;0.9;BIVG
16/08/1938;0.8;BIVG
16/09/1938;0;BIVG
16/10/1938;-0.6;BIVG
16/11/1938;-0.4;BIVG
16/12/1938;0;BIVG
16/01/1939;0.9;BIVG
15/02/1939;-0.8;BIVG
16/03/1939;1;BIVG
16/04/1939;0.6;BIVG
16/05/1939;1;BIVG
16/06/1939;0.6;BIVG
16/07/1939;0.4;BIVG
16/08/1939;0.5;BIVG
16/09/1939;0.5;BIVG
16/10/1939;2.2;BIVG
16/11/1939;0.7;BIVG
16/12/1939;-0.2;BIVG
16/01/1940;0.9;BIVG
15/02/1940;0.2;BIVG
16/03/1940;-0.4;BIVG
16/04/1940;1.3;BIVG
16/05/1940;-0.4;BIVG
16/06/1940;0.2;BIVG
16/07/1940;1.4;BIVG
16/08/1940;-0.8;BIVG
16/09/1940;1.3;BIVG
16/10/1940;0.2;BIVG
16/11/1940;0.7;BIVG
16/12/1940;1.1;BIVG
16/01/1941;1.5;BIVG
15/02/1941;0.9;BIVG
16/03/1941;-0.1;BIVG
16/04/1941;0.6;BIVG
16/05/1941;0.9;BIVG
16/06/1941;1.5;BIVG
16/07/1941;-0.6;BIVG
16/08/1941;1.4;BIVG
16/09/1941;-0.7;BIVG
16/10/1941;-0.4;BIVG
16/11/1941;-0.7;BIVG
16/12/1941;-0.7;BIVG
16/01/1942;1.1;BIVG
15/02/1942;-1.1;BIVG
16/03/1942;-0.8;BIVG
16/04/1942;-0.7;BIVG
16/05/1942;-0.3;BIVG
16/06/1942;-0.5;BIVG
16/07/1942;-0.2;BIVG
16/08/1942;-0.8;BIVG
16/09/1942;0.5;BIVG
16/10/1942;0.3;BIVG
16/11/1942;-0.3;BIVG
16/12/1942;-0.2;BIVG
16/01/1943;0.8;BIVG
15/02/1943;-1.2;BIVG
16/03/1943;-1.6;BIVG
16/04/1943;-1.2;BIVG
16/05/1943;-0.4;BIVG
16/06/1943;-0.4;BIVG
16/07/1943;-0.5;BIVG
16/08/1943;-1;BIVG
16/09/1943;1;BIVG
16/10/1943;-0.6;BIVG
16/11/1943;0;BIVG
16/12/1943;-1;BIVG
16/01/1944;-0.7;BIVG
15/02/1944;0.8;BIVG
16/03/1944;-0.7;BIVG
16/04/1944;-0.8;BIVG
16/05/1944;-1.9;BIVG
16/06/1944;0.3;BIVG
16/07/1944;0.6;BIVG
16/08/1944;-0.2;BIVG
16/09/1944;1.4;BIVG
16/10/1944;1.3;BIVG
16/11/1944;1.6;BIVG
16/12/1944;0.1;BIVG
16/01/1945;0.6;BIVG
15/02/1945;-0.3;BIVG
16/03/1945;-1.4;BIVG
16/04/1945;-1.5;BIVG
16/05/1945;-0.4;BIVG
16/06/1945;-1.8;BIVG
16/07/1945;-1.6;BIVG
16/08/1945;0.6;BIVG
16/09/1945;-0.3;BIVG
16/10/1945;-0.8;BIVG
16/11/1945;-1.4;BIVG
16/12/1945;0.4;BIVG
16/01/1946;-1;BIVG
15/02/1946;1;BIVG
16/03/1946;-0.9;BIVG
16/04/1946;-1.8;BIVG
16/05/1946;0.2;BIVG
16/06/1946;1.1;BIVG
16/07/1946;-1;BIVG
16/08/1946;0.4;BIVG
16/09/1946;-0.2;BIVG
16/10/1946;-0.9;BIVG
16/11/1946;-0.3;BIVG
16/12/1946;-0.9;BIVG
16/01/1947;-0.6;BIVG
15/02/1947;0.8;BIVG
16/03/1947;0.8;BIVG
16/04/1947;-1.6;BIVG
16/05/1947;-1;BIVG
16/06/1947;-0.7;BIVG
16/07/1947;-0.5;BIVG
16/08/1947;-0.6;BIVG
16/09/1947;-1.6;BIVG
16/10/1947;-1.3;BIVG
16/11/1947;0.4;BIVG
16/12/1947;1.1;BIVG
16/01/1948;1.7;BIVG
15/02/1948;-1;BIVG
16/03/1948;-1.8;BIVG
16/04/1948;0.5;BIVG
16/05/1948;-0.2;BIVG
16/06/1948;0.8;BIVG
16/07/1948;0.7;BIVG
16/08/1948;1.2;BIVG
16/09/1948;0.4;BIVG
16/10/1948;-1.2;BIVG
16/11/1948;-1.1;BIVG
16/12/1948;-1.2;BIVG
16/01/1949;-1;BIVG
15/02/1949;-1.6;BIVG
16/03/1949;-0.6;BIVG
16/04/1949;-1.5;BIVG
16/05/1949;1;BIVG
16/06/1949;-1.7;BIVG
16/07/1949;-1.7;BIVG
16/08/1949;-1;BIVG
16/09/1949;-0.9;BIVG
16/10/1949;-1.1;BIVG
16/11/1949;1.1;BIVG
16/12/1949;-0.6;BIVG
16/01/1950;-0.6;BIVG
15/02/1950;1.1;BIVG
16/03/1950;-1.4;BIVG
16/04/1950;0.8;BIVG
16/05/1950;-0.8;BIVG
16/06/1950;-1;BIVG
16/07/1950;-1.1;BIVG
16/08/1950;0.4;BIVG
16/09/1950;0.1;BIVG
16/10/1950;-1.4;BIVG
16/11/1950;1.8;BIVG
16/12/1950;-0.1;BIVG
16/01/1951;-0.4;BIVG
15/02/1951;0.9;BIVG
16/03/1951;0.8;BIVG
16/04/1951;-0.3;BIVG
16/05/1951;1.1;BIVG
16/06/1951;1.7;BIVG
16/07/1951;-0.2;BIVG
16/08/1951;1.2;BIVG
16/09/1951;-0.1;BIVG
16/10/1951;-1.1;BIVG
16/11/1951;1.6;BIVG
16/12/1951;-0.8;BIVG
16/01/1952;1.3;BIVG
15/02/1952;0.5;BIVG
16/03/1952;0.8;BIVG
16/04/1952;-1.5;BIVG
16/05/1952;-0.9;BIVG
16/06/1952;-1.5;BIVG
16/07/1952;-1.7;BIVG
16/08/1952;0.3;BIVG
16/09/1952;1.1;BIVG
16/10/1952;1.5;BIVG
16/11/1952;1.5;BIVG
16/12/1952;0.7;BIVG
16/01/1953;-1.3;BIVG
15/02/1953;-0.3;BIVG
16/03/1953;-2;BIVG
16/04/1953;-0.4;BIVG
16/05/1953;-1.8;BIVG
16/06/1953;2.3;BIVG
16/07/1953;0.5;BIVG
16/08/1953;-1.2;BIVG
16/09/1953;0;BIVG
16/10/1953;-0.6;BIVG
16/11/1953;-1.7;BIVG
16/12/1953;-1.8;BIVG
16/01/1954;-0.5;BIVG
15/02/1954;0;BIVG
16/03/1954;0.1;BIVG
16/04/1954;-0.3;BIVG
16/05/1954;-0.6;BIVG
16/06/1954;-0.4;BIVG
16/07/1954;-0.2;BIVG
16/08/1954;1.9;BIVG
16/09/1954;0.3;BIVG
16/10/1954;-0.3;BIVG
16/11/1954;-0.6;BIVG
16/12/1954;1;BIVG
16/01/1955;1.8;BIVG
15/02/1955;1.5;BIVG
16/03/1955;-0.6;BIVG
16/04/1955;-1.9;BIVG
16/05/1955;-0.8;BIVG
16/06/1955;0.7;BIVG
16/07/1955;0.2;BIVG
16/08/1955;-0.6;BIVG
16/09/1955;-0.6;BIVG
16/10/1955;-0.8;BIVG
16/11/1955;-1;BIVG
16/12/1955;0.8;BIVG
16/01/1956;0;BIVG
15/02/1956;-0.8;BIVG
16/03/1956;-0.4;BIVG
16/04/1956;0.5;BIVG
16/05/1956;-0.2;BIVG
16/06/1956;0.5;BIVG
16/07/1956;1.2;BIVG
16/08/1956;1.4;BIVG
16/09/1956;1.2;BIVG
16/10/1956;0.4;BIVG
16/11/1956;-0.8;BIVG
16/12/1956;-1.1;BIVG
16/01/1957;-0.7;BIVG
