dates,spei01,provenance
1929-08-16,-0.9,BIVG
1929-09-16,-1.9,BIVG
1929-10-16,0.8,BIVG
1929-11-16,-0.7,BIVG
1929-12-16,1,BIVG
1930-01-16,-0.7,BIVG
1930-02-15,-0.8,BIVG
1930-03-16,0.2,BIVG
1930-04-16,0.5,BIVG
1930-05-16,1.6,BIVG
1930-06-16,0.2,BIVG
1930-07-16,1.5,BIVG
1930-08-16,0,BIVG
1930-09-16,0.9,BIVG
1930-10-16,1.6,BIVG
1930-11-16,0.8,BIVG
1930-12-16,-0.4,BIVG
1931-01-16,0.8,BIVG
1931-02-15,0.5,BIVG
1931-03-16,0.3,BIVG
1931-04-16,0.5,BIVG
1931-05-16,0.5,BIVG
1931-06-16,-1.3,BIVG
1931-07-16,1.3,BIVG
1931-08-16,1.8,BIVG
1931-09-16,0.7,BIVG
1931-10-16,-0.4,BIVG
1931-11-16,-0.6,BIVG
1931-12-16,-0.3,BIVG
1932-01-16,-0.2,BIVG
1932-02-15,-1.1,BIVG
1932-03-16,0.4,BIVG
1932-04-16,1.2,BIVG
1932-05-16,1.2,BIVG
1932-06-16,0.3,BIVG
1932-07-16,1.3,BIVG
1932-08-16,-1.4,BIVG
1932-09-16,0.3,BIVG
1932-10-16,0.9,BIVG
1932-11-16,-1.5,BIVG
1932-12-16,-1.4,BIVG
1933-01-16,-1.3,BIVG
1933-02-15,-0.3,BIVG
1933-03-16,-0.6,BIVG
1933-04-16,-1.1,BIVG
1933-05-16,0.6,BIVG
1933-06-16,1.4,BIVG
1933-07-16,-0.6,BIVG
1933-08-16,-1.4,BIVG
1933-09-16,0.7,BIVG
1933-10-16,0.7,BIVG
1933-11-16,0.1,BIVG
1933-12-16,-1.8,BIVG
1934-01-16,-0.1,BIVG
1934-02-15,-1.4,BIVG
1934-03-16,0.6,BIVG
1934-04-16,-0.1,BIVG
1934-05-16,-2,BIVG
1934-06-16,-0.8,BIVG
1934-07-16,-1,BIVG
1934-08-16,0.4,BIVG
1934-09-16,-1.1,BIVG
1934-10-16,-0.2,BIVG
1934-11-16,0.9,BIVG
1934-12-16,0.8,BIVG
1935-01-16,0.4,BIVG
1935-02-15,1.5,BIVG
1935-03-16,-0.5,BIVG
1935-04-16,1.4,BIVG
1935-05-16,-0.2,BIVG
1935-06-16,-0.9,BIVG
1935-07-16,-0.9,BIVG
1935-08-16,0.7,BIVG
1935-09-16,-0.1,BIVG
1935-10-16,1,BIVG
1935-11-16,1.7,BIVG
1935-12-16,2.1,BIVG
1936-01-16,1.3,BIVG
1936-02-15,0.4,BIVG
1936-03-16,-1,BIVG
1936-04-16,0.7,BIVG
1936-05-16,-1.2,BIVG
1936-06-16,0.7,BIVG
1936-07-16,1.8,BIVG
1936-08-16,-0.5,BIVG
1936-09-16,0.8,BIVG
1936-10-16,-0.7,BIVG
1936-11-16,-0.7,BIVG
1936-12-16,-1.3,BIVG
1937-01-16,0.6,BIVG
1937-02-15,1.5,BIVG
1937-03-16,1.6,BIVG
1937-04-16,0.3,BIVG
1937-05-16,-0.6,BIVG
1937-06-16,0.1,BIVG
1937-07-16,-1.2,BIVG
1937-08-16,-0.9,BIVG
1937-09-16,0.3,BIVG
1937-10-16,-0.1,BIVG
1937-11-16,-0.4,BIVG
1937-12-16,-0.1,BIVG
1938-01-16,0.9,BIVG
1938-02-15,-0.6,BIVG
1938-03-16,-1.8,BIVG
1938-04-16,-1.1,BIVG
1938-05-16,-0.4,BIVG
1938-06-16,-0.5,BIVG
1938-07-16,0.9,BIVG
1938-08-16,0.8,BIVG
1938-09-16,0,BIVG
1938-10-16,-0.6,BIVG
1938-11-16,-0.4,BIVG
1938-12-16,0,BIVG
1939-01-16,0.9,BIVG
1939-02-15,-0.8,BIVG
1939-03-16,1,BIVG
1939-04-16,0.6,BIVG
1939-05-16,1,BIVG
1939-06-16,0.6,BIVG
1939-07-16,0.4,BIVG
1939-08-16,0.5,BIVG
1939-09-16,0.5,BIVG
1939-10-16,2.2,BIVG
1939-11-16,0.7,BIVG
1939-12-16,-0.2,BIVG
1940-01-16,0.9,BIVG
1940-02-15,0.2,BIVG
1940-03-16,-0.4,BIVG
1940-04-16,1.3,BIVG
1940-05-16,-0.4,BIVG
1940-06-16,0.2,BIVG
1940-07-16,1.4,BIVG
1940-08-16,-0.8,BIVG
1940-09-16,1.3,BIVG
1940-10-16,0.2,BIVG
1940-11-16,0.7,BIVG
1940-12-16,1.1,BIVG
1941-01-16,1.5,BIVG
1941-02-15,0.9,BIVG
1941-03-16,-0.1,BIVG
1941-04-16,0.6,BIVG
1941-05-16,0.9,BIVG
1941-06-16,1.5,BIVG
1941-07-16,-0.6,BIVG
1941-08-16,1.4,BIVG
1941-09-16,-0.7,BIVG
1941-10-16,-0.4,BIVG
1941-11-16,-0.7,BIVG
1941-12-16,-0.7,BIVG
1942-01-16,1.1,BIVG
1942-02-15,-1.1,BIVG
1942-03-16,-0.8,BIVG
1942-04-16,-0.7,BIVG
1942-05-16,-0.3,BIVG
1942-06-16,-0.5,BIVG
1942-07-16,-0.2,BIVG
1942-08-16,-0.8,BIVG
1942-09-16,0.5,BIVG
1942-10-16,0.3,BIVG
1942-11-16,-0.3,BIVG
1942-12-16,-0.2,BIVG
1943-01-16,0.8,BIVG
1943-02-15,-1.2,BIVG
1943-03-16,-1.6,BIVG
1943-04-16,-1.2,BIVG
1943-05-16,-0.4,BIVG
1943-06-16,-0.4,BIVG
1943-07-16,-0.5,BIVG
1943-08-16,-1,BIVG
1943-09-16,1,BIVG
1943-10-16,-0.6,BIVG
1943-11-16,0,BIVG
1943-12-16,-1,BIVG
1944-01-16,-0.7,BIVG
1944-02-15,0.8,BIVG
1944-03-16,-0.7,BIVG
1944-04-16,-0.8,BIVG
1944-05-16,-1.9,BIVG
1944-06-16,0.3,BIVG
1944-07-16,0.6,BIVG
1944-08-16,-0.2,BIVG
1944-09-16,1.4,BIVG
1944-10-16,1.3,BIVG
1944-11-16,1.6,BIVG
1944-12-16,0.1,BIVG
1945-01-16,0.6,BIVG
1945-02-15,-0.3,BIVG
1945-03-16,-1.4,BIVG
1945-04-16,-1.5,BIVG
1945-05-16,-0.4,BIVG
1945-06-16,-1.8,BIVG
1945-07-16,-1.6,BIVG
1945-08-16,0.6,BIVG
1945-09-16,-0.3,BIVG
1945-10-16,-0.8,BIVG
1945-11-16,-1.4,BIVG
1945-12-16,0.4,BIVG
1946-01-16,-1,BIVG
1946-02-15,1,BIVG
1946-03-16,-0.9,BIVG
1946-04-16,-1.8,BIVG
1946-05-16,0.2,BIVG
1946-06-16,1.1,BIVG
1946-07-16,-1,BIVG
1946-08-16,0.4,BIVG
1946-09-16,-0.2,BIVG
1946-10-16,-0.9,BIVG
1946-11-16,-0.3,BIVG
1946-12-16,-0.9,BIVG
1947-01-16,-0.6,BIVG
1947-02-15,0.8,BIVG
1947-03-16,0.8,BIVG
1947-04-16,-1.6,BIVG
1947-05-16,-1,BIVG
1947-06-16,-0.7,BIVG
1947-07-16,-0.5,BIVG
1947-08-16,-0.6,BIVG
1947-09-16,-1.6,BIVG
1947-10-16,-1.3,BIVG
1947-11-16,0.4,BIVG
1947-12-16,1.1,BIVG
1948-01-16,1.7,BIVG
1948-02-15,-1,BIVG
1948-03-16,-1.8,BIVG
1948-04-16,0.5,BIVG
1948-05-16,-0.2,BIVG
1948-06-16,0.8,BIVG
1948-07-16,0.7,BIVG
1948-08-16,1.2,BIVG
1948-09-16,0.4,BIVG
1948-10-16,-1.2,BIVG
1948-11-16,-1.1,BIVG
1948-12-16,-1.2,BIVG
1949-01-16,-1,BIVG
1949-02-15,-1.6,BIVG
1949-03-16,-0.6,BIVG
1949-04-16,-1.5,BIVG
1949-05-16,1,BIVG
1949-06-16,-1.7,BIVG
1949-07-16,-1.7,BIVG
1949-08-16,-1,BIVG
1949-09-16,-0.9,BIVG
1949-10-16,-1.1,BIVG
1949-11-16,1.1,BIVG
1949-12-16,-0.6,BIVG
1950-01-16,-0.6,BIVG
1950-02-15,1.1,BIVG
1950-03-16,-1.4,BIVG
1950-04-16,0.8,BIVG
1950-05-16,-0.8,BIVG
1950-06-16,-1,BIVG
1950-07-16,-1.1,BIVG
1950-08-16,0.4,BIVG
1950-09-16,0.1,BIVG
1950-10-16,-1.4,BIVG
1950-11-16,1.8,BIVG
1950-12-16,-0.1,BIVG
1951-01-16,-0.4,BIVG
1951-02-15,0.9,BIVG
1951-03-16,0.8,BIVG
1951-04-16,-0.3,BIVG
1951-05-16,1.1,BIVG
1951-06-16,1.7,BIVG
1951-07-16,-0.2,BIVG
1951-08-16,1.2,BIVG
1951-09-16,-0.1,BIVG
1951-10-16,-1.1,BIVG
1951-11-16,1.6,BIVG
1951-12-16,-0.8,BIVG
1952-01-16,1.3,BIVG
1952-02-15,0.5,BIVG
1952-03-16,0.8,BIVG
1952-04-16,-1.5,BIVG
1952-05-16,-0.9,BIVG
1952-06-16,-1.5,BIVG
1952-07-16,-1.7,BIVG
1952-08-16,0.3,BIVG
1952-09-16,1.1,BIVG
1952-10-16,1.5,BIVG
1952-11-16,1.5,BIVG
1952-12-16,0.7,BIVG
1953-01-16,-1.3,BIVG
1953-02-15,-0.3,BIVG
1953-03-16,-2,BIVG
1953-04-16,-0.4,BIVG
1953-05-16,-1.8,BIVG
1953-06-16,2.3,BIVG
1953-07-16,0.5,BIVG
1953-08-16,-1.2,BIVG
1953-09-16,0,BIVG
1953-10-16,-0.6,BIVG
1953-11-16,-1.7,BIVG
1953-12-16,-1.8,BIVG
1954-01-16,-0.5,BIVG
1954-02-15,0,BIVG
1954-03-16,0.1,BIVG
1954-04-16,-0.3,BIVG
1954-05-16,-0.6,BIVG
1954-06-16,-0.4,BIVG
1954-07-16,-0.2,BIVG
1954-08-16,1.9,BIVG
1954-09-16,0.3,BIVG
1954-10-16,-0.3,BIVG
1954-11-16,-0.6,BIVG
1954-12-16,1,BIVG
1955-01-16,1.8,BIVG
1955-02-15,1.5,BIVG
1955-03-16,-0.6,BIVG
1955-04-16,-1.9,BIVG
1955-05-16,-0.8,BIVG
1955-06-16,0.7,BIVG
1955-07-16,0.2,BIVG
1955-08-16,-0.6,BIVG
1955-09-16,-0.6,BIVG
1955-10-16,-0.8,BIVG
1955-11-16,-1,BIVG
1955-12-16,0.8,BIVG
1956-01-16,0,BIVG
1956-02-15,-0.8,BIVG
1956-03-16,-0.4,BIVG
1956-04-16,0.5,BIVG
1956-05-16,-0.2,BIVG
1956-06-16,0.5,BIVG
1956-07-16,1.2,BIVG
1956-08-16,1.4,BIVG
1956-09-16,1.2,BIVG
1956-10-16,0.4,BIVG
1956-11-16,-0.8,BIVG
1956-12-16,-1.1,BIVG
1957-01-16,-0.7,BIVG
1957-02-15,1.6,BIVG
1957-03-16,-1.3,BIVG
1957-04-16,-0.9,BIVG
1957-05-16,-0.5,BIVG
1957-06-16,1.4,BIVG
1957-07-16,0.9,BIVG
1957-08-16,0.3,BIVG
1957-09-16,0.2,BIVG
1957-10-16,-1,BIVG
1957-11-16,-1,BIVG
1957-12-16,-0.6,BIVG
1958-01-16,0.4,BIVG
1958-02-15,0.9,BIVG
1958-03-16,0.5,BIVG
1958-04-16,0,BIVG
1958-05-16,0.9,BIVG
1958-06-16,1,BIVG
1958-07-16,0.9,BIVG
1958-08-16,1.2,BIVG
1958-09-16,0.6,BIVG
1958-10-16,0.6,BIVG
1958-11-16,-0.4,BIVG
1958-12-16,1.3,BIVG
1959-01-16,1.1,BIVG
1959-02-15,-2.2,BIVG
1959-03-16,0,BIVG
1959-04-16,0.9,BIVG
1959-05-16,-1.7,BIVG
1959-06-16,0.3,BIVG
1959-07-16,-1.7,BIVG
1959-08-16,-0.5,BIVG
1959-09-16,-1.7,BIVG
1959-10-16,-0.2,BIVG
1959-11-16,0,BIVG
1959-12-16,0.3,BIVG
1960-01-16,0.4,BIVG
1960-02-15,0.2,BIVG
